Hash,Type,Family,First_Seen,Name
d898f22ca7b36c18103138227e1d52b8,Win64 DLL,,12/06/2019 22:34,d77bee3ac8b5e9120dc89ec922b40440e39ecb26428e662c533c58a901506a20.sample
f71198ff68979d356d0777f6e6336baa,Win64 DLL,,12/06/2019 22:34,bb4d326e5f6fc24fc9359c255f77b543f74838799a07f5774bed70e3e878d60b.sample
849ab91e93116ae420d2fe2136d24a87,Win64 DLL,winnti,08/07/2019 17:00,7cd17fc948eb5fa398b8554fea036bdb3c0045880e03acbe532f4082c271e3c5.bin
04fb0ccf3ef309b1cd587f609ab0e81e,Win32 EXE,,04/26/2019 17:30,
ee5b707249c562dc916b125e32950c8d,Win64 DLL,,03/28/2019 03:13,PatchWrapPS
650a3dce1380f9194361e0c7be9ffb97,Win64 DLL,winnti,03/28/2019 02:36,PatchWrapPS
64e09cf2894d6e5ac50207edff787ed7,Win64 DLL,,03/27/2019 08:10,PatchWrapPS
ffd0f34739c1568797891b9961111464,Win64 DLL,,03/27/2019 07:49,ma_lockdown_service.dll
7dc6bbc202e039dd989e1e2a93d2ec2d,Win64 DLL,,02/12/2019 06:43,TSMSISrv.DLL
d49c186b1bfd7c9233e5815c2572eb98,Win64 DLL,,02/12/2019 06:37,TSMSISrv.DLL
ff8d92dfbcda572ef97c142017eec658,Win64 DLL,razy,02/12/2019 05:04,TSMSISrv.DLL
a919b4454679ef60b39c82bd686ed141,unknown,,01/15/2019 16:32,F64.data
846cdb921841ac671c86350d494abf9c,Win64 EXE,,01/10/2019 05:38,C64.exe
8d3b3d5b68a1d08485773d70c186d877,ELF executable,,12/04/2018 01:32,mtlserver
b0877494d36fab1f9f4219c3defbfb19,Win64 DLL,razy,11/28/2018 10:10,TSMSISrv.DLL
e42555b218248d1a2ba92c1532ef6786,Win64 EXE,,11/27/2018 11:52,
557ff68798c71652db8a85596a4bab72,Win64 DLL,,11/23/2018 09:32,TSMSISrv.DLL
37e100dd8b2ad8b301b130c2bca3f1ea,Win64 DLL,razy,11/22/2018 14:52,TSMSISrv.DLL
e58d4072c56a5dd3cc5cf768b8f37e5e,unknown,,11/22/2018 13:55,racsvc.dll.mui
48e00515cfad7f1ffb45982a8d190648,Win64 EXE,,10/20/2017 18:19,web1.exe
11c476c7db48f1b02ecc5ae93f63e46d,Win32 EXE,winnti,08/15/2017 12:07,300519fa1af5c36371ab438405eb641f184bd2f491bdf24f04e5ca9b86d1b39c.exe
334cc0be79082859cfb7f3913c761da1,Win32 EXE,winnti,08/14/2017 18:07,config.exe
97363d50a279492fda14cbab53429e75,Win32 DLL,,07/18/2017 03:59,nssock
84d6e4ba1f4268e50810dacc7bbc3935,Text,,09/28/2016 09:40,
ba08b593250c3ca5c13f56e2ca97d85e,Win64 EXE,winnti,09/13/2016 14:02,
830a09ff05eac9a5f42897ba5176a36a,Win32 EXE,,08/21/2016 20:40,BARLAIY-70c03ce5c80aca2d35a5555b0532eedede24d4cc6bdb32a2c8f7e630bba5f26e
5e87b09f9a3f1b728c9797560a38764b,7ZIP,Zxshell,06/19/2015 07:22,=?utf-8?B?5Lit5p2x5ZG85ZC45Zmo55eH5YCZ576kKE1FUlMp44Gu5LqI6ZiyLjd6?=
f8c89ccd8937f2b760e6706738210744,Win64 DLL,winnti,12/01/2014 17:47,C:\Analysis_Baddies_Dirty\InterMune\Winnti Samples\f8c89ccd8937f2b760e6706738210744.f3c222606f890573e6128fbeb389f37bd6f6bda3.primary_analysis_subject
77c60e5d2d99c3f63f2aea1773ed4653,Win64 DLL,winnti,05/17/2012 09:51,7566558469ede04efc665212b45786a730055770f6ea8f924d8c1e324cae8691.vir
7d51ea0230d4692eeedc2d5a4cd66d2d,Win64 EXE,winnti,04/23/2012 10:42,63e8ed9692810d562adb80f27bb1aeaf48849e468bf5fd157bc83ca83139b6d7.bin
36711896cfeb67f599305b590f195aec,Win32 DLL,winnti,04/16/2012 06:22,490c3e4af829e85751a44d21b25de1781cfe4961afdef6bb5759d9451f530994.bin
a0a96138b57ee24eed31b652ddf60d4e,Win32 DLL,winnti,03/23/2012 06:20,79190925bd1c3fae65b0d11db40ac8e61fb9326ccfed9b7e09084b891089602d.bin
659bd19b562059f3f0cc978e15624fd9,unknown,,05/22/2020 18:08,
c0c467c8e9b2046d7053642cc9bdd57d,TXT,,03/09/2020 21:48,56544329
3e856162c36b532925c8226b4ed3481c,Win32 EXE,,03/09/2020 15:02,./KISA_dataset_2020_train/d854f775ab1071eebadc0eb44d8571c387567c233a71d2e26242cd9a80e67309.vir
5909983db4d9023e4098e56361c96a6f,Win64 DLL,,03/09/2020 13:47,./KISA_dataset_2020_train/f91f2a7e1944734371562f18b066f193605e07223aab90bd1e8925e23bbeaa1c.vir
7966c2c546b71e800397a67f942858d0,TXT,,03/09/2020 12:39,de9ef08a148305963accb8a64eb22117916aa42ab0eddf60ccb8850468a194fc.bin
c33754d068954ec9a61cc9165334a57e,ELF executable,Omni,02/03/2020 18:14,bsd2
6edb5def1d82d09bf827d85cb42ab07e,ELF executable,Omni,02/03/2020 18:13,bsd
c4471e977dcce55f05da188406d38da7,ELF executable,,08/19/2019 01:57,autoipv6
382e1eb5eb4028584e802420612977cb,Android,,02/28/2019 08:37,GPS_TEST.apk
2079d0dd8d4039e3ac1de00bfffe9cd9,Win32 EXE,,10/15/2018 12:24,lancer.exe
4906401f2d80465732073771f2fc4dbf,Win32 EXE,,10/12/2018 03:10,OnLineTestBox.exe
f7062294fd3132d52a7dda63d92fd4e4,ELF object file,,03/21/2018 07:52,d29254ab907c9ef54349de3ec0dd8b22b4692c58ed7a7b340afbc6e44363f96a.bin
d88f2fda2b22d363207264ccb2c3bc08,ELF executable,Tsunami,02/23/2018 10:02,08f29e234f0ce3bded1771d702f8b5963b144141727e48b8a0594f58317aac75.bin
ea78869555018cdab3699e2df5d7e7f8,ELF executable,Omni,12/23/2017 01:17,python26
dfd2cf91627783e7128c373e91c089f3,Android,androidos,05/20/2016 17:29,64424a7c5f0d8e1c5d64c4c6fa9bdc2987dbdcf1bafdb6f45df9e783712c5187.bin
87370de697847a69a9a90ba567c10f9e,ELF executable,,12/10/2015 17:06,dhcp.xxx
27fde2d6dbd43dedd5909747faab40d6,ELF object file,,07/27/2015 09:47,ipmi_devintf.ko
e723b43d2a917ac54d33597deb6a96b7,Win32 DLL,,06/02/2021 16:50,iusb3mon.dll
06f20cd107fca2e189aa0316cf0d33d0,Win32 EXE,CobaltStrike,05/25/2021 15:56,4521bd40fcbbfd963bf6f4aa7690b20d3133a6e642937e326876e7ba408e6298.bin.sample
7ee9b79f4b5e19547707cbd960d4292f,Win64 DLL,Tiggre,05/15/2021 07:04,SEService.dll
222874a9c712d6d04e362f31125a9888,ELF executable,,04/12/2021 02:45,libxselinux
61baeb993ee324fc581115e5eb8cf2e1,ELF shared library,winnti,04/12/2021 02:45,libxselinux.so
1015fa861318acbbfd405e54620aa5e3,Win64 DLL,,03/26/2021 13:09,StoreSvc.dll
28ce14829400d6c34ef9e29ac1296c13,Win64 EXE,rozena,02/01/2021 13:06,%PUBLIC%\notepad.exe
407b5200c061123c9bd32e7eea21a57b,Win64 DLL,Wacatac,01/21/2021 05:50,filedata
2902f54dbd1f143784dfcb170dfc170d,TXT,,01/18/2021 21:35,dttcodexgigas.69b961af528eac458942dc1787f32dc432a328d9
2f2e724dd7d726d34b3f2cfad92e6f9a,Win64 DLL,,12/09/2020 04:40,UXLibRes.dll
89c6ccd4785f58b7cb253045ef662476,Win64 DLL,tiggre,11/23/2020 11:29,UXLibRes.dll
e5809996b6126a5573623a9010eb4ee2,TXT,,10/21/2020 13:25,beaa2c8dcf9fbf70358a8cf71b2acee95146dba79ba37943a939a2145b83b32e.bin
36fe1e0db5e74ed3e6adc039720c54d6,Win64 EXE,,09/20/2020 04:37,36fe1e0db5e74ed3e6adc039720c54d6.virus
07377cf8abcabcf4ec87e9dde67672d6,unknown,,09/09/2020 08:03,normnfw.nls
dbc30db0ed5ba1ea3b2e500823448c6c,Win64 DLL,,09/08/2020 12:44,0187d3fae2dfc1629e766d5df38bdabf5effcb4746befceb1aaf283e9fe063a1.bin
211db7515faa09aa0623b327bd1530f1,Win64 DLL,,09/03/2020 17:48,abac7a72b425ff38f8a7d8b66178da519525dc2137ca8904b42301fb46a8983e.bin
f02a87562ffdd7a1c941dac4175854b0,Win64 DLL,,09/03/2020 17:48,34aeaa89aab983318ed8f6da32556faf3057a92dc045fac1f960f3aaad3a1ba1.bin
8b2e72f2b13c63a583ae9a9cd474adf6,Win64 DLL,,09/01/2020 09:06,wmdtks.dll
951c5f08eef4ef8acc3352a44c7c0e80,HTML,winnti,08/28/2020 06:27,3c6d304c050607a9b945b9c7e80805fc5d54ced16f3d27aaa42fce6434c92472.bin
06f945c39870743d51ca887efb32d649,PDF,,08/28/2020 06:27,b6685eb069bdfeec54c9ac349b6f26fb8ecf7a27f8dfd8fcdb09983c94aed869.bin
247c48b8758a9eba48bfe39c53ff9e6e,Win64 DLL,,08/23/2020 12:52,fad80dc36a59d1cc67f3c4f5deb2650ca7f5abac43858bf38b46f60d6bb4b196.sample
48bda0c5e53b6d7ee7fb1da6130f325f,Win64 EXE,cometer,08/20/2020 08:29,e886caba3fea000a7de8948c4de0f9b5857f0baef6cf905a2c53641dbbc0277c.bin
0133bd3f26788732a580115218d98273,Win64 DLL,,08/12/2020 12:28,f36a0b99973a837d5e4d542edd739df7cac10e207be538d47a106c4edf7cff54.bin
9697d60b744a14b3003559d17cfc2f8f,Win64 DLL,Razy,08/12/2020 08:06,0046df35f66a3b076d9206412be2f1f7ea4641d96574e7b58578c0c0995d1feb.bin
5e61778a1e660691dce99ebb8e5e257c,Win64 EXE,cometer,07/21/2020 11:04,COVID-19.pdf()________.exe
284dcb880e68d66cb890ef85d78ea7ae,Win32 EXE,winnti,07/16/2020 05:45,C:\Users\Keyboard007\Desktop\CBRLR\WF-MAIL1\SAMPLE\3d38dfd588fc98de099201fe9f52feb29bb401fc623d6fe03eb8f0c959ffc731
0d69dae8f83f09b8671b8552a0acd319,Win32 EXE,cometer,07/15/2020 07:15,6a10027dd99f124cd9d2682b6e7b0841d070607ea22a446f3c40c0b9f9725bed.bin
cb682ec885f353bcc51ac350bc015783,Win32 EXE,,07/15/2020 07:08,dttcodexgigas.1d3dc9bb7acfe8416ac5ab51f24b6648b91eb305
4922247f9b83341987e0b4e80f5c153f,Win32 EXE,CobaltStrike,07/15/2020 03:13,(COVID-19) pandemic -reg.pdf - Copy.exe
407990337eac6582533df5c85528817a,Win32 EXE,CobaltStrike,07/15/2020 02:47,(COVID-19) pandemic -reg.pdf.exe
b8b43c4c4207b180ec8be82ff066172a,Win32 EXE,,07/15/2020 02:40,0d6a5183b903b1013367b9a319f21a7a3b7798d9565a0deee52951f62a708227.bin
64071aaa193ab18722553bf6f573547b,Win32 EXE,AgentTesla,07/15/2020 02:36,06210a1f9bc48128e050df0884f9759e4d202bd103aa78e6b6eb3cec1a58cdb5.bin
7e8ebe133a530ea86f179c87fc8e51f7,Win32 EXE,,07/14/2020 08:29,8f0538a18c944e2a98f1415d5528a0dab4367cd8689f598ab2da266c36403252.bin
69b9d1fc0edb0a67909847e43ac79ccf,unknown,,07/10/2020 07:04,6867f3d853de5dfe8adbd761576c29ad853611d8d1c7fdd15b07125fd05321f8.bin
cf13bdefb622fc90dcda39e20e45d636,Win32 EXE,Graftor,07/10/2020 06:47,8308e54055b45eb63dc6c4c6a4112310a45dec041c1be7deb55bec548617136f.sample
2a2a50ec29f741faecbff0bcf705da0a,unknown,,07/10/2020 06:05,43fe07f9adeb32b20e21048e9bb41d01e6b3559d98088ac8cd8ab0fad766b885.bin
086186c935a68e7167113da46a17fa80,Win32 EXE,Graftor,07/09/2020 11:38,\Users\Petra\AppData\Local\Temp\RarSFX0\System.exe
db394163c7e6e511d0e4046ff34d67e2,Win64 EXE,,07/09/2020 11:14,%TEMP%\RarSFX0\Detectmalware.exe
d12013fb90a60869cfdaaffe1a18467d,Win32 EXE,,07/09/2020 09:45,\Users\Petra\AppData\Local\Temp\RarSFX0\mstsc.exe
bae0fc6f570ca12a9b2980dd00bc673c,Win32 EXE,Graftor,07/09/2020 08:11,/DetectMalware.exe
d761c07911138e605723f891965035b8,Win32 EXE,Graftor,07/09/2020 07:50,COVID-19-2020-07.pdf.exe
468c5c3f46299c67366727a58e3322e4,Win32 EXE,cometer,07/09/2020 07:33,Detect malware.exe
6d33db967323d822ba3239dcdfcb555c,Win32 EXE,Graftor,07/09/2020 06:08,situation-no184-060810120000.pdf.exe
e8c21f8f50bc5720b1713322db4a9022,PDF,,07/07/2020 15:25,02f5cb58a57d807c365edf8df5635263f428b099a38dff7fe7f4436b84efbe71.bin
46d3773e0e306b8a1ede7932b83fb034,CHM,,07/07/2020 04:15,c:\users\admini~1\appdata\local\temp\cv.chm
652c44a6b5d09bf4c749a4b4d1bae895,TXT,,07/07/2020 03:41,C:\ProgramData\go.vbs
a26d2c6f7df4b74b56f9376a2d234661,Win32 EXE,Dapato,07/06/2020 07:43,03b7b511716c074e9f6ef37318638337fd7449897be999505d4a3219572829b4.bin
4001d217c9a77d5839fbc033937f7ed4,Win32 EXE,Vigorf,07/06/2020 03:37,BDReinit
fcceb7a3bc3b0c48c8d9c91eb0b896ab,Win64 DLL,,07/04/2020 10:22,chrome_watch.dll
b22b232381ea465aeb81fb7077141d06,RAR,,06/26/2020 17:06,Resume.rar
21aa8aa3a92ebca1963595a328061843,Win64 EXE,,06/25/2020 18:49,%PUBLIC%\resume.exe
e93bdab9e64bcce94f70a91e0ee115da,TXT,winnti,06/25/2020 18:49,3c8049bd7d2c285acc0685d55b73e4339d4d0a755acffad697d5a6806d95bb28.bin
e542c6fabe80af604d31ef8eaaf94053,Win64 EXE,,06/23/2020 11:30,c:\users\admini~1\appdata\local\temp\regdon.exe
62d6fb0f33d0411ea6abd3167118a0e1,Win64 DLL,,06/23/2020 08:26,62d6fb0f33d0411ea6abd3167118a0e1.virus
882a60c3173e252469eb4731af3342bd,ZIP,,06/23/2020 07:42,regdon.zip
53e2c1eb6b87e92b5f534503f011f6ee,Win64 DLL,,06/22/2020 16:39,
2555677876b50a03e42420838c1997f1,Win32 EXE,,06/22/2020 14:04,8c962ddbb515e73ecfc5df9db35a54c8c9d15713a04425298f2d89308e2a47bf.bin
4518f25c6307ef6d2ea5c0e66f2b16d1,Win64 DLL,Vigorf,06/18/2020 07:46,faca607b43551044fda3c799ce7e9ce61004100544eeb196734972303f57f2ae.bin
6d967f275beb3855980a80d60ef8023c,Win64 DLL,Vigorf,06/18/2020 04:26,D:\Work\1\6d967f275beb3855980a80d60ef8023c
d19c5c55733244f4a8d5a1af4e6c1250,Win64 DLL,Vigorf,06/18/2020 02:32,oci.dll
318b3661ec5929f069e7821fac537fe0,Win64 DLL,,06/16/2020 00:28,
7e1948326ff96a1b6f8e8d6dee152e28,Win32 EXE,njRAT,06/15/2020 06:40,x32.exe
c024b658471a27ec5201f96f65f0b89a,Win32 EXE,cometer,06/12/2020 06:45,420dc77afe28003f14dfe6c09fbf8194ead8a6e8222b6ab126e7ee9bf4b63fd4.bin
a752d48a4433eb2dd56c8946a345ac9e,Win32 EXE,winnti,06/12/2020 03:20,0ad8ee3fe6d45626b28c0051c4c4f83358a03096ad06fc7135621293e95c75ae.bin
fbfeecea5a8c752c9bffdf6b9f7fcf50,Win32 EXE,Vigorf,06/12/2020 02:35,G:\2020\samples\samples\exe32\f\virussign.com_fbfeecea5a8c752c9bffdf6b9f7fcf50.vir
bb4155a5add9446b6354d46a78edc8d5,Win32 EXE,cometer,06/12/2020 02:16,k.exe
eee464e5ded3f4e37d49c8a91b1eb157,Win32 EXE,Vigorf,06/12/2020 02:06,325430384d642ab2a902fb0e268e85808b6cbf87506ccdc314e116e7d1b8239e.bin
914151fa49be06ab570bb0db77ce6960,Win32 EXE,Vigorf,06/12/2020 02:01,e:\9\virussign.com_914151fa49be06ab570bb0db77ce6960.vir
d8ff9eb5582371745ffe1636a89f97ce,Win32 EXE,cometer,06/12/2020 01:52,012d8d787c6e7a5f3dbe1e9cce7c5da166537a819221e210ef4d108f1a0a24b3.bin
2867ca5c273fbb128504a4e455e862a4,Win32 EXE,,06/12/2020 01:31,75d573d1e788590195012a1965cfcaa911c566aee88331b7718ddc638028c175.bin
9a026082cb80cdba1a68ae1d14f79b9d,Win32 EXE,,06/12/2020 01:29,fb23c7fc2e5e8ae33942734c453961da9ed4659368d19180a8f1ecb3b9b8e853.bin
cdddd08982ca2dd76a63cbf603956f1a,Win32 EXE,cometer,06/12/2020 01:24,f54cf6d9a5d77a89c4a2d47b02736d746764319e02ad224019db8de78842334a.bin
a8bb1d69fb8a9d323bbc5d78f0e62850,Win32 EXE,,06/11/2020 10:44,5841a4302fcbd63f66fc2afd41f8671744454aaa7e1ed834e935bfdb007a9a83.bin
dbd6a052331365a31f74e2c41d5cd132,Win64 EXE,cometer,06/11/2020 10:40,身份證明文件.jpg.scr
bbeca57f7993a34e6296c8dedb996b76,Win64 DLL,,06/09/2020 06:09,AppleVersions.dll
f5b3106f2ff44bf860d077e77a1992e3,CAB,Razy,06/09/2020 02:36,TS.zip
a140420e12b68c872fe687967ac5ddbe,TXT,CVE-2017-11882,06/08/2020 14:53,0deb252a5048c3371358618750813e947458c77e651c729b9d51363f3d16b583.bin
42a5908ff9b65d3b1a1a9f52ca6f06a5,Win64 EXE,cometer,06/02/2020 16:19,e398290469966aff01a9e138d45c4655790d7a641950e675785d0a2ab93e7d28.bin
2dc960eb4691a148ece5ee2b24932f03,7ZIP,cometer,06/02/2020 12:13,запись чата.7z
dda83ca52a9d9dbdc7752db8ed9533a9,Win32 EXE,Shelma,06/01/2020 20:03,Exclusive shooting information.avi.exe
b02057f05f57f3a889a744533001cf7d,Win32 EXE,,06/01/2020 20:03,Dedicated video player.exe
221db0f664ea781b4dff81e0a354c63d,Win32 EXE,,06/01/2020 20:01,c:\users\admini~1\appdata\local\temp\employee information.docx.exe
1bc1df4b946e83f26c878f01145545a4,Win64 EXE,cometer,06/01/2020 18:58,a4b2a737badef32831cbf05bfaa65b5121ddb41463177f4ac0dbc354b3b451d4.bin
5ed49962d13dcd6e0eab98f966273fca,Win64 EXE,cometer,06/01/2020 18:45,Electronic Album Reader.exe
c839ae523f04e7859498de1dee570867,Win64 EXE,cometer,06/01/2020 18:44,Зашифрованное резюме.pdf
6817b7a5d1542eff1cc404a44a31353a,RAR,,06/01/2020 16:24,fc5c9c93781fbbac25d185ec8f920170503ec1eddfc623d2285a05d05d5552dc.bin
5e3ef894b490d1c931a5f70d44789316,RAR,,06/01/2020 16:23,Complaint.rar
f88416bc9ffcb639f1357ebafe3ae9a7,Win32 EXE,Shelma,06/01/2020 15:31,Мое резюме.pdf.exe
f9fa912e498f20c440dde32fc8a66608,RAR,cometer,06/01/2020 15:15,electronic_resume.pdf.rar
71b250a873a070415fed172759a42b7d,Win64 DLL,,06/01/2020 08:02,msmpeg2srcsnk.dll
9776f04d9c254a0b67f4dc000369a17c,unknown,,05/29/2020 08:30,4733d1204b06dc95178e83834af61934a423534e1d4edd402b37e226f0f2727f.bin
d53daa634260ed28fc2e8610ecf15ad3,TXT,CVE-2017-11882,05/29/2020 08:29,dca8fcb7879cf4718de0ee61a88425fca9dfa9883be187bae3534076f835a54d.bin
260eae2912475e51d82534b467e5746b,CAB,,05/29/2020 08:19,1.txt
337171764c99b7ae87c030e11cda00c6,Win64 DLL,,05/22/2020 17:57,SEService.dll
2a3e63fdbcbbad9b4be8b35a180ea0d4,Win64 DLL,,05/19/2020 17:11,wbemcomna.dll
17548fb49ef598901ab83b7c630fbe9a,Win64 EXE,winnti,05/13/2020 02:49,C:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\officeupdate.exe
93ffd591948223e806c248861735e006,unknown,winnti,05/13/2020 02:47,8e6945ae06dd849b9db0c2983bca82de1dddbf79afb371aa88da71c19c44c996.bin
cbccba5f774642c80aacfed20d20435b,Win64 EXE,CobaltStrike,05/09/2020 03:07,chikeme.exe
4a89eb933fa87d85542488df6ae20d82,Win64 EXE,occamy,05/04/2020 12:31,4a89eb933fa87d85542488df6ae20d82.virus
38857fb40e0655495df270777043b813,Win64 DLL,,04/28/2020 09:02,chrome_watch.dll
a7542a2dc4dd52bd4c9b08741dc32ad7,TXT,PlugX,04/23/2020 17:46,C:\Users\user\AppData\Local\Temp\a.bat
d3ef032a67242789316e364f7e798ff4,Win32 EXE,krypyik,04/21/2020 21:31,shellcode.exe
bb6b9a60c3b4062669bac3608ca7b0c1,Win64 DLL,Tiggre,04/21/2020 20:35,bb6b9a60c3b4062669bac3608ca7b0c1.virus
329ecc81b222a796f46859d16bd4813c,Win32 EXE,PlugX,04/21/2020 17:58,94ea23e7f53cb9111dd61fe1a1cbb79b8bbabd2d37ed6bfa67ba2a437cfd5e92.bin
359f5615dcf2f75bc74146afad630427,Win32 DLL,Ursu,04/20/2020 05:15,storesyncsvc.dll
63584677683b5fbf4f69053a8de9ecbe,Win64 EXE,krypyik,04/06/2020 20:26,b447a7bb633f682058d4b9df5caabbe8c794f087b80bf598d6741a255e925078.bin
03275b5b1f9d11b1731d5746827d00b1,Win64 EXE,occamy,04/06/2020 20:04,svchost.exe
3839d37a6a7a29a7af79f102e28b8bc2,Win32 EXE,cometer,04/03/2020 17:40,C:\Users\Keyboard007\Desktop\CBRLR\WF-MAIL1\SAMPLE\283302c43466bdc6524a1e58a0ff9cc223ab8f540a1b0248d1fcffe81b87d5d6
e5271b41cf32892cc16445ac0783f3f7,Win32 DLL,Zbot,03/16/2020 18:06,localnetsvc.dll
3d09dee9bc20abf33b64bcb4c6d3130f,Win32 DLL,Zbot,03/16/2020 18:05,localreadinesssvc.dll
99b86e64d76d21b2a5bfeb48b89e3935,Win64 DLL,occamy,03/15/2020 17:12,e935699b31707ecf9e006940f31f09514688cb45e078a66724603ee7fadf84db.bin
8d6737d573ef70b47fd39a4c5a552e0f,Win32 DLL,,03/14/2020 00:35,csc.exe
7affcfb9857cc14dcc07fb8d226f03e0,Win32 EXE,PlugX,03/13/2020 21:46,./KISA_dataset_2020_train/ccdb8e0162796efe19128c0bac78478fd1ff2dc3382aed0c19b0f4bd99a31efc.vir
05e1247ff02d50aed81ecd9d0b93c41c,Win64 EXE,Kryptik,03/09/2020 21:54,7ed5cbeb6c732aa492762381033ff06d0c29f1c731530d4d27704822141a074a.bin
1d6def7a4bed4a8772e3cae6926d405b,Win64 EXE,,03/09/2020 14:39,svchosl.exe
dc758b9ecca41f7f66808258efbfc6cf,Win64 EXE,krypyik,03/09/2020 07:42,a7df8143a36638de40233b141919d767678b45bf5467e948a637eaafb2820550.bin
d92db6b734b1db3874396506613a4962,Win64 EXE,Ursu,03/04/2020 13:08,c:\windows\system32\66ov7j3j4.dll
da220930ac3e45a713d9da2e6c1c246a,Win64 EXE,winnti,02/24/2020 13:25,4665280d4b34c5388edeb51a6d5e808d2942c364017a42d3f1fac186b21eb571.bin
b5605f71d18cc255dbbd910ac008ae6e,Win32 EXE,,02/24/2020 05:38,d0686f44fb7e77ce0f68cc91c4cef12dbd691bb99b0b7be77103b7b17eec3753.bin
63c1b74c829ee362730ff37d6101d276,Win64 EXE,winnti,02/23/2020 21:05,e7f5a30d4bf7915cc97374e0f6a29573d4640961166b5c9b942030e8c10949d8.bin
7af8c2055a608c920ba5e5c63fd43207,Win32 EXE,,02/23/2020 21:05,8fb8134bf40ad6bddd60ea77b78c30dab72c736bf29172f89d03505b80c3ae8d.bin
fb2ac5049bdee8dd1753fa7e9d007e6b,Win64 EXE,,12/22/2019 16:22,9bf32bf4a4bc1d13bddaa6402595ad76d2d9fcc91a988313f13ed990ccb1c4c1.bin
c8f1aff87d12e0e5c7082b8a565c4abb,Win64 DLL,,11/15/2019 13:41,d:\virus\2020\VirusShare_c8f1aff87d12e0e5c7082b8a565c4abb
be473559dbd0098baab3e2a8ac40b780,Win64 DLL,,08/15/2019 10:47,oci.dll
2a189598113d436e4b717abb76f1c652,Win32 EXE,cometer,12/06/2018 06:20,
d55e9a302203c8800ca89b757b0588ed,TXT,,01/11/2017 07:50,C:\Users<user>\AppData\Local\Temp\1.vbs
